order_id,customer_id,order_date,order_total,payment_method,delivery_partner_id,store_id,hour,day,month,weekday,product_id,quantity,unit_price,total_price,product_name,category,brand,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,area,pincode,registration_date,customer_segment,total_orders,avg_order_value,promised_time,actual_time,delivery_time_minutes,distance_km,reasons_if_delayed,is_delayed,delay_minutes,feedback_id,rating,feedback_text,feedback_category,sentiment,feedback_date,promised_duration_minutes,actual_duration_minutes,delivery_efficiency,order_size,is_peak,delay_category,delivery_status,delay_bucket,order_value_bucket
1961864118,30065862,2024-07-17 08:34:01,3197.07,Cash,63230,4771,8,17,7,Wednesday,642612,3,517.03,1551.09,Pet Treats,Pet Care,Pillay-Ahuja,795.43,35.0,365,16,57,Allahabad,911359,2024-09-02,Regular,13,749.95,2024-07-17 08:52:01,2024-07-17 08:47:01,-5.0,0.96,On Time,False,0.0,2234710,4,"It was okay, nothing special.",Delivery,Neutral,2024-07-17,18.0,13.0,1.3846153846153846,3,True,Low Delay,On Time / Early,0-5 min,High
1549769649,9573071,2024-05-28 13:14:29,976.55,Cash,14983,7534,13,28,5,Tuesday,378676,1,881.42,881.42,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,1259.17,30.0,180,19,65,Thrissur,856100,2023-11-07,New,5,958.06,2024-05-28 13:25:29,2024-05-28 13:27:29,2.0,0.98,Traffic,True,2.0,5450964,3,The order was incorrect.,App Experience,Negative,2024-05-28,11.0,13.0,0.8461538461538461,1,False,Low Delay,Delayed,0-5 min,Low
9185164487,45477575,2024-09-23 13:07:12,839.05,UPI,39859,9886,13,23,9,Monday,741341,2,923.84,1847.68,Eggs,Dairy & Breakfast,Prasad LLC,1154.8,20.0,7,13,62,Vellore,117423,2024-01-05,Inactive,4,327.93,2024-09-23 13:25:12,2024-09-23 13:29:12,4.0,3.83,Traffic,True,4.0,482108,3,"It was okay, nothing special.",App Experience,Neutral,2024-09-23,18.0,22.0,0.8181818181818182,2,False,Low Delay,Delayed,0-5 min,Low
9644738826,88067569,2023-11-24 16:16:56,440.23,Card,61497,7917,16,24,11,Friday,561860,1,874.78,874.78,Orange Juice,Cold Drinks & Juices,Gupta Ltd,1249.69,30.0,180,21,90,Gaya,288459,2023-12-25,Premium,5,273.38,2023-11-24 16:34:56,2023-11-24 16:33:56,-1.0,2.76,On Time,False,0.0,4823104,4,The product met my expectations.,App Experience,Neutral,2023-11-24,18.0,17.0,1.0588235294117647,1,False,Low Delay,On Time / Early,0-5 min,Low
5427684290,83298567,2023-11-20 05:00:39,2526.68,Cash,84315,2741,5,20,11,Monday,602241,2,976.55,1953.1,Nuts,Snacks & Munchies,Bahl-Pau,1502.38,35.0,90,12,75,Asansol,149383,2024-10-02,Premium,14,763.1,2023-11-20 05:17:39,2023-11-20 05:18:39,1.0,2.63,Traffic,True,1.0,3537464,3,Product was damaged during delivery.,Delivery,Negative,2023-11-20,17.0,18.0,0.9444444444444444,2,False,Low Delay,Delayed,0-5 min,Medium
3265154092,43367112,2023-03-18 16:29:51,3161.43,UPI,554,3442,16,18,3,Saturday,681063,1,321.28,321.28,Mango Drink,Cold Drinks & Juices,Dass and Sons,458.97,30.0,180,20,91,Gopalpur,276624,2023-12-14,New,19,1861.66,2023-03-18 16:49:51,2023-03-18 16:48:51,-1.0,1.94,On Time,False,0.0,4089724,2,Product was damaged during delivery.,Customer Service,Negative,2023-03-18,20.0,19.0,1.0526315789473684,1,False,Low Delay,On Time / Early,0-5 min,High
4898355547,13284996,2023-04-16 18:50:37,956.4,Card,14630,1318,18,16,4,Sunday,56589,3,517.77,1553.31,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",647.21,20.0,365,16,85,Phagwara,363237,2024-04-11,Regular,9,449.79,2023-04-16 19:01:37,2023-04-16 19:02:37,1.0,2.2,Traffic,True,1.0,230696,4,Highly recommended!,Product Quality,Positive,2023-04-16,11.0,12.0,0.9166666666666666,3,True,Low Delay,Delayed,0-5 min,Low
6568151549,88866835,2024-03-31 06:26:48,905.47,Cash,67714,115,6,31,3,Sunday,500739,2,359.98,719.96,Bread,Dairy & Breakfast,Aggarwal Group,449.98,20.0,7,18,81,South Dumdum,65460,2023-11-01,Premium,6,506.63,2024-03-31 06:37:48,2024-03-31 06:39:48,2.0,1.3,Traffic,True,2.0,2259308,2,I had a bad experience.,App Experience,Negative,2024-03-31,11.0,13.0,0.8461538461538461,2,False,Low Delay,Delayed,0-5 min,Low
6006693867,24496983,2023-07-13 23:49:36,1371.17,Card,91362,9021,23,13,7,Thursday,490939,1,80.25,80.25,Lotion,Personal Care,"Roy, Barad and De",123.46,35.0,365,12,67,Kamarhati,185526,2023-12-04,Regular,17,1262.44,2023-07-14 00:02:36,2023-07-14 00:05:36,3.0,3.38,Traffic,True,3.0,7380970,3,Product was damaged during delivery.,Delivery,Negative,2023-07-14,13.0,16.0,0.8125,1,False,Low Delay,Delayed,0-5 min,Medium
374186990,52215833,2023-08-09 01:17:30,1601.19,Wallet,77203,7955,1,9,8,Wednesday,760828,2,563.45,1126.9,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",866.85,35.0,365,23,93,Sirsa,414814,2024-09-27,Regular,5,305.65,2023-08-09 01:37:30,2023-08-09 01:44:30,7.0,1.47,Traffic,True,7.0,2257242,3,The product met my expectations.,App Experience,Neutral,2023-08-09,20.0,27.0,0.7407407407407407,2,False,Medium Delay,Delayed,5-15 min,Medium
